Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63,Dim_64,Dim_65,Dim_66,Dim_67,Dim_68,Dim_69,Dim_70,Dim_71,Dim_72,Dim_73,Dim_74,Dim_75,Dim_76,Dim_77,Dim_78,Dim_79,Dim_80,Dim_81,Dim_82,Dim_83,Dim_84,Dim_85,Dim_86,Dim_87,Dim_88,Dim_89,Dim_90,Dim_91,Dim_92,Dim_93,Dim_94,Dim_95,Dim_96,Dim_97,Dim_98,Dim_99,Dim_100
0.0,0.0,0.0,0.0,0.07832510769367218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07896885275840759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21629737317562103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17301397025585175,0.0,0.12196025252342224,0.0,0.0,0.0,0.33306044340133667,0.0,0.0,0.0,0.0,0.0,0.25188735127449036,0.06100142002105713,0.0,0.0,0.0,0.0,0.0,0.1171206459403038,0.0,0.0,0.0,0.1873316466808319,0.0,0.0,0.503463625907898,0.12007492780685425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09464035928249359,0.2655922472476959,0.0,0.0,0.3623664379119873,0.0,0.3506457805633545,0.0,0.0,0.11653071641921997,0.19154739379882812,0.0,0.02779936045408249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040016405284404755
0.0,0.0,0.0,0.0,0.10609474778175354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24247829616069794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20896340906620026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2360934466123581,0.0,0.14911368489265442,0.0,0.0,0.0,0.32991480827331543,0.0,0.0,0.0,0.0,0.0,0.16635841131210327,0.16653630137443542,0.0,0.0,0.0,0.0,0.0,0.18032298982143402,0.0,0.0,0.0,0.16238319873809814,0.0,0.0,0.4742572605609894,0.11764489114284515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24238801002502441,0.32359573245048523,0.0,0.0,0.35714051127433777,0.0,0.24268487095832825,0.0,0.0,0.09696836769580841,0.32448530197143555,0.0,0.10145449638366699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08110060542821884
0.0,0.0,0.0,0.0,0.17558695375919342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05531562492251396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5844542384147644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2754339277744293,0.029303930699825287,0.2174723744392395,0.0,0.0,0.0,0.1867751032114029,0.0,0.0,0.0,0.0,0.0,0.5039987564086914,0.08560582250356674,0.0,0.0,0.0,0.0,0.0,0.48477503657341003,0.0,0.0,0.0,0.16384002566337585,0.0,0.0,0.5726970434188843,0.12699635326862335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23632369935512543,0.15266765654087067,0.0,0.0,0.18211618065834045,0.0,0.44231143593788147,0.0,0.0,0.07317295670509338,0.11212774366140366,0.0,0.1664007008075714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12297286093235016
0.0,0.0,0.0,0.0,0.08440114557743073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10067886114120483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16513189673423767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20452089607715607,0.0,0.02452581375837326,0.0,0.0,0.0,0.2482091188430786,0.0,0.0,0.0,0.0,0.0,0.15924033522605896,0.032760053873062134,0.0,0.0,0.0,0.0,0.0,0.04715181887149811,0.0,0.0,0.0,0.14642038941383362,0.0,0.0,0.31360942125320435,0.12198410928249359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13954967260360718,0.17458324134349823,0.0,0.0,0.2942080795764923,0.0,0.18854281306266785,0.0,0.0,0.08494676649570465,0.09920553117990494,0.0,0.10694310814142227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055450208485126495
0.0,0.0,0.0,0.0,0.061877962201833725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12750369310379028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18698939681053162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11686521023511887,0.0,0.05079827457666397,0.0,0.0,0.0,0.23993174731731415,0.0,0.0,0.0,0.0,0.0,0.10933367908000946,0.03690764307975769,0.0,0.0,0.0,0.0,0.0,0.021445229649543762,0.0,0.0,0.0,0.039221785962581635,0.0,0.0,0.3832955062389374,0.0376417450606823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15916702151298523,0.22832266986370087,0.0,0.0,0.3028605878353119,0.0,0.21623766422271729,0.0,0.0,0.05790916085243225,0.19387967884540558,0.0,0.05243378132581711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02959686517715454
0.0,0.0,0.0,0.0,0.1272571086883545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13998056948184967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11283764988183975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20076516270637512,0.0,0.16023477911949158,0.0,0.0,0.0,0.31335240602493286,0.0,0.0,0.0,0.0,0.0,0.19705773890018463,0.17243292927742004,0.0,0.0,0.0,0.0,0.0,0.18959002196788788,0.0,0.0,0.0,0.2600895166397095,0.0,0.0,0.3152759373188019,0.15764085948467255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686759501695633,0.20745961368083954,0.0,0.0,0.256167471408844,0.0,0.21696922183036804,0.0,0.0,0.08302106708288193,0.1776614934206009,0.0,0.09928854554891586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06123531609773636
0.0,0.0,0.0,0.0,0.15061701834201813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10544154047966003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143183633685112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2627137005329132,0.0,0.12692007422447205,0.0,0.0,0.0,0.34924665093421936,0.0,0.0,0.0,0.0,0.0,0.34178900718688965,0.11989498138427734,0.0,0.0,0.0,0.0,0.0,0.2449745088815689,0.0,0.0,0.0,0.34194642305374146,0.0,0.0,0.29975080490112305,0.24252645671367645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08630968630313873,0.1650022566318512,0.0,0.0,0.24777381122112274,0.0,0.22710108757019043,0.0,0.0,0.13364242017269135,0.10020839422941208,0.0,0.12458731979131699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429058015346527
0.0,0.0,0.0,0.0,0.14753012359142303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13939672708511353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2047167271375656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221749946475029,0.0,0.18686753511428833,0.0,0.0,0.0,0.3268571197986603,0.0,0.0,0.0,0.0,0.0,0.14660079777240753,0.12592263519763947,0.0,0.0,0.0,0.0,0.0,0.10993552953004837,0.0,0.0,0.0,0.16443371772766113,0.0,0.0,0.3984728455543518,0.08983942866325378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19832095503807068,0.3200027048587799,0.0,0.0,0.3560955822467804,0.0,0.31555476784706116,0.0,0.0,0.0838400349020958,0.2775534987449646,0.0,0.14548388123512268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07963798940181732
0.0,0.0,0.0,0.0,0.06424473226070404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1478748470544815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24113284051418304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509813368320465,0.0,0.04059320688247681,0.0,0.0,0.0,0.2723250687122345,0.0,0.0,0.0,0.0,0.0,0.1453600823879242,0.028908206149935722,0.0,0.0,0.0,0.0,0.0,0.04534395411610603,0.0,0.0,0.0,0.04968748986721039,0.0,0.0,0.45458152890205383,0.0484825074672699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2040906697511673,0.26853153109550476,0.0,0.0,0.34883585572242737,0.0,0.25037485361099243,0.0,0.0,0.07322985678911209,0.21437248587608337,0.0,0.05214613676071167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523790679872036
0.0,0.0,0.0,0.0,0.07937926054000854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14935585856437683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17766377329826355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08469171822071075,0.0,0.10154024511575699,0.0,0.0,0.0,0.25051674246788025,0.0,0.0,0.0,0.0,0.0,0.13861572742462158,0.07123876363039017,0.0,0.0,0.0,0.0,0.0,0.07471424341201782,0.0,0.0,0.0,0.06896332651376724,0.0,0.0,0.3745286762714386,0.04504847899079323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13525617122650146,0.21947769820690155,0.0,0.0,0.24714510142803192,0.0,0.2011604905128479,0.0,0.0,0.05386281758546829,0.20428279042243958,0.0,0.04378975182771683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051786236464977264
0.0,0.0,0.0,0.0,0.10433490574359894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14636564254760742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17251069843769073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19782204926013947,0.0,0.09100373834371567,0.0,0.0,0.0,0.2914990186691284,0.0,0.0,0.0,0.0,0.0,0.10121949017047882,0.1019061878323555,0.0,0.0,0.0,0.0,0.0,0.02785712480545044,0.0,0.0,0.0,0.15897107124328613,0.0,0.0,0.402748703956604,0.07111744582653046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17270304262638092,0.23958812654018402,0.0,0.0,0.3677753508090973,0.0,0.25164794921875,0.0,0.0,0.09503690898418427,0.20018912851810455,0.0,0.10281471908092499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017850477248430252
0.0,0.0,0.0,0.0,0.13381223380565643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13029901683330536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2681523561477661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3664945065975189,0.0,0.05337250977754593,0.0,0.0,0.0,0.4463443160057068,0.0,0.0,0.0,0.0,0.0,0.26945972442626953,0.06406164169311523,0.0,0.0,0.0,0.0,0.0,0.11507588624954224,0.0,0.0,0.0,0.18485024571418762,0.0,0.0,0.512519896030426,0.18751074373722076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2395232766866684,0.4495203197002411,0.0,0.0,0.5330972671508789,0.0,0.37640607357025146,0.0,0.0,0.13664987683296204,0.3010466396808624,0.0,0.11349213868379593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12911967933177948
